DateTime,Entries,UniqueIPs
1522406364,15445,31289
1522406664,15468,31314
1522407366,15416,31260
1522408206,15476,31322
1522408577,15480,31325
1522409403,15545,31390
1522410006,15470,31313
1522410508,15466,31311
1522412107,15488,31335
1522412427,14161,29963
1522413128,14211,30013
1522413688,14146,29948
1522414334,14167,29970
1522414804,14141,29941
1522415736,14227,30027
1522416259,14863,30683
1522416603,14931,30752
1522418228,14967,30790
1522418402,14902,30722
1522419006,14878,30697
1522420347,14982,31824
1522422003,14926,31767
1522422275,14938,31778
1522422906,14970,31810
1522424174,14997,31838
1522424719,14905,31746
1522425604,14894,31736
1522426118,14898,31739
1522426519,14932,30753
1522427404,14996,30818
1522428041,15005,30827
1522428322,15004,31081
1522428607,14962,31036
1522429947,14949,31024
1522430861,14978,31053
1522431863,14993,31067
1522432805,14972,31046
1522433785,15006,31082
1522434630,14910,31243
1522435697,14887,31219
1522437006,14857,31188
1522437615,14894,31229
1522438087,14919,31254
1522438928,14853,31189
1522439536,14864,31202
1522440930,14869,31460
1522441456,14845,31436
1522441827,14829,31417
1522443378,14814,31402
1522443604,14796,31387
1522444521,14836,31428
1522445541,14871,31468
1522446328,14796,31393
1522447468,14774,31370
1522448127,14812,31408
1522449086,14774,31372
1522449793,14766,31363
1522449934,14799,31396
1522452079,14793,31386
1522452603,14823,31417
1522453507,14779,31374
1522454175,14784,31380
1522454406,14749,31089
1522455007,14772,31112
1522456337,14767,31107
1522457107,14805,31145
1522457136,14812,30639
1522458261,15396,31248
1522458607,15399,31253
1522459649,15399,31508
1522460179,15412,31521
1522460737,15412,31519
1522462112,15413,31522
1522462536,15398,31508
1522462795,15425,31535
1522464014,15427,31535
1522465943,15207,31315
1522466887,15256,31365
1522467860,15198,31306
1522469784,15233,31340
1522470603,15265,31372
1522471327,15223,31328
1522471693,15225,31330
1522472258,15160,31265
1522473618,15192,31297
1522474548,15136,31235
1522475537,15138,31238
1522477463,15175,31277
1522478702,15127,31233
1522479396,15146,31251
1522480806,15093,31199
1522481299,15103,31211
1522482349,15040,31149
1522482907,15010,31119
1522483235,14984,31092
1522484134,15025,31133
1522485140,15047,31154
1522485726,15006,31112
1522487061,15005,31114
1522487403,4029,19970
1522488516,15022,31131
1522488983,15022,31131
1522489506,14860,30967
1522490543,14762,30869
1522490899,14769,30872
1522491497,14867,30971
1522492820,14747,30851
1522493767,14820,30924
1522494747,14797,30899
1522495686,14846,30948
1522496658,14842,30943
1522497603,14732,30832
1522498584,13223,29264
1522499403,13250,29291
1522500500,13168,29209
1522500967,13111,29151
1522501809,13148,29188
1522502410,13865,29923
1522502707,13890,29949
1522503607,13816,29875
1522504338,13839,29899
1522505745,13806,29865
1522506253,13831,29892
1522506602,13847,28378
1522506907,13817,28346
1522508193,13860,28396
1522509006,13899,28436
1522510095,13930,28467
1522510927,13771,28312
1522512063,13762,28302
1522512934,13755,28294
1522513938,13771,28318
1522514032,13776,28068
1522514496,13743,28036
1522515861,13762,28054
1522516768,13807,28098
1522517776,13830,28122
1522518006,13782,28074
1522519204,13785,27822
1522519947,13772,27810
1522520106,13794,27832
1522520935,13811,27853
1522521858,13804,28867
1522523784,13761,28822
1522525705,13736,28793
1522526404,13739,28541
1522527325,13703,28504
1522527858,13725,28525
1522528855,13686,28487
1522529772,13681,28483
1522530927,13709,28512
1522531941,13705,28509
1522532407,13677,28480
1522533306,13704,28507
1522533863,13705,28508
1522534208,13695,28490
1522535276,13723,28519
1522536088,13671,28467
1522536332,13633,28427
1522537938,13617,28412
1522538047,13617,28410
1522540680,13569,28357
1522541733,13615,28404
1522542519,13601,28391
1522543523,13605,28390
1522544673,14263,29071
1522545608,14258,29067
1522546584,14135,28946
1522547545,14176,28988
1522548507,14173,28985
1522548932,14172,29239
1522549803,14170,29235
1522550415,14163,29230
1522550732,14116,29182
1522551396,14043,29108
1522552346,14074,29137
1522554262,14077,29140
1522556182,14015,29075
1522558099,14062,29121
1522559407,14038,29094
1522560017,14047,29101
1522561937,14051,29106
1522562402,14015,29069
