DateTime,Entries,UniqueIPs
1522622081,6251,6265
1522623280,6238,6252
1522624341,6239,6253
1522625535,6231,6245
1522626506,6231,6245
1522627457,6222,6236
1522628414,6226,6240
1522629377,6212,6226
1522630352,6202,6217
1522631293,6198,6213
1522632257,6189,6204
1522633209,6183,6198
1522634188,6182,6197
1522635135,6168,6184
1522636104,6160,6176
1522637296,6162,6180
1522638286,6151,6169
1522639212,6158,6176
1522640185,6150,6168
1522641133,6151,6169
1522642098,6150,6168
1522643059,6144,6161
1522644020,6138,6155
1522644968,6131,6148
1522645964,6125,6142
1522646890,6121,6138
1522647862,6112,6128
1522648813,6107,6123
1522649800,6104,6120
1522650738,6094,6110
1522651707,6085,6101
1522652657,6078,6094
1522653627,6075,6091
1522654579,6075,6091
1522655542,6075,6091
1522656494,6059,6075
1522657479,6052,6068
1522658411,6045,6061
1522659380,6051,6067
1522660334,6035,6051
1522661314,6032,6048
1522662259,6033,6049
1522663726,6030,6046
1522664655,6033,6049
1522665627,6028,6044
1522666574,6024,6039
1522667539,6018,6033
1522668488,6012,6027
1522669472,6011,6026
1522670439,5999,6014
1522671375,6002,6017
1522672338,5991,6006
1522673309,5989,6004
1522674261,5989,6004
1522675214,5979,5994
1522676181,5980,5995
1522677137,5975,5990
1522678093,5975,5990
1522679073,5970,5985
1522680258,5966,5981
1522681223,5956,5971
1522682181,5948,5963
1522683146,5943,5958
1522684094,5937,5952
1522685082,5930,5945
1522686012,5931,5946
1522686978,5922,5937
1522688174,5920,5935
1522689655,5894,5909
1522690570,5867,5882
1522691551,5854,5869
1522692492,5853,5868
1522693466,5842,5857
1522694412,5835,5850
1522695395,5825,5840
1522696334,5823,5838
1522697299,5809,5824
1522698258,5812,5827
1522699283,5804,5819
1522700419,5810,5825
1522701371,5798,5813
1522702332,5790,5805
1522703310,5775,5790
1522704258,5765,5780
1522705216,5758,5772
1522706175,5762,5776
1522707148,5745,5760
1522708089,5750,5765
1522709675,5720,5735
1522710788,5718,5733
1522711939,5706,5721
1522712892,5703,5718
1522713883,5692,5707
1522715144,5691,5706
1522716266,5677,5692
1522717217,5682,5697
1522718184,5668,5683
1522719140,5659,5674
1522720093,5655,5670
1522721075,5650,5665
1522722010,5647,5662
1522722979,5640,5655
1522723932,5626,5641
1522724910,5622,5637
1522725855,5617,5632
1522726813,5613,5628
1522727789,5609,5624
1522728737,5609,5624
1522729689,5595,5610
1522730670,5596,5611
1522731619,5596,5611
1522732570,5597,5612
1522733546,5591,5606
1522734511,5586,5601
1522735456,5585,5600
1522736664,5585,5600
1522737751,5581,5596
1522738959,5587,5602
1522739995,5582,5597
1522741296,5570,5585
1522742481,5569,5584
1522743526,5560,5575
1522744580,5551,5567
1522745530,5543,5559
1522746499,5531,5547
1522747456,5523,5539
1522748413,5519,5536
1522749383,5517,5534
1522750351,5509,5526
1522751537,5504,5521
1522752495,5486,5503
1522753459,5474,5491
1522754412,5467,5484
1522755379,5476,5493
1522756335,5470,5487
1522757295,5464,5481
1522758263,5441,5458
1522759211,5447,5464
1522760182,5422,5439
1522761140,5428,5445
1522762098,5408,5425
1522763054,5416,5433
1522764016,5390,5406
1522764982,5401,5417
1522765936,5389,5405
1522766893,5379,5395
1522767876,5360,5376
1522768812,5366,5382
1522769780,5350,5366
1522770729,5354,5370
1522772252,5343,5360
1522773382,5337,5354
1522775167,5320,5338
1522776263,5313,5331
1522777221,5310,5328
1522778919,5289,5307
1522779956,5283,5301
1522780906,5283,5301
1522782000,5277,5295
1522782990,5274,5293
1522785472,5250,5269
1522786818,5247,5266
1522787781,5240,5259
1522788735,5229,5248
1522789946,5228,5247
1522790893,5215,5234
1522791864,5209,5228
1522792820,5202,5222
1522794026,5192,5212
1522794987,5183,5203
1522796069,5171,5191
1522797231,5166,5188
1522798336,5147,5174
1522799305,5154,5181
1522800503,5152,5179
1522801722,5127,5154
1522802670,5131,5158
1522803657,5123,5150
1522804574,5130,5158
1522806079,5119,5147
1522807219,5114,5142
