DateTime,AddedIPs,RemovedIPs
1522681225,634,634
1522682184,480,480
1522683148,676,676
1522684096,585,585
1522685084,671,671
1522686014,423,423
1522686980,691,691
1522688176,851,851
1522689657,789,789
1522690572,679,679
1522691553,666,666
1522692493,608,608
1522693467,384,384
1522694414,875,875
1522695396,632,632
1522696337,606,606
1522697301,521,521
1522698260,694,694
1522699285,648,648
1522700421,597,597
1522701373,782,782
1522702333,512,512
1522703312,739,739
1522704260,461,461
1522705218,786,786
1522706177,588,588
1522707150,2000,2000
1522708091,872,872
1522709677,1082,1082
1522710790,733,733
1522711941,760,760
1522712894,612,612
1522713885,689,689
1522715146,779,779
1522716269,924,924
1522717219,528,528
1522718186,730,730
1522719142,576,576
1522720095,545,545
1522721077,557,557
1522722012,558,558
1522722981,787,787
1522723934,552,552
1522724912,670,670
1522725857,632,632
1522726815,836,836
1522727791,684,684
1522728739,535,535
1522729691,777,777
1522730673,718,718
1522731621,629,629
1522732572,495,495
1522733548,765,765
1522734515,644,644
1522735458,641,641
1522736666,494,494
1522737753,970,970
1522738961,783,783
1522739997,605,605
1522741298,1117,1117
1522742483,821,821
1522743527,577,577
1522744582,526,526
1522745532,654,654
1522746501,737,737
1522747458,368,368
1522748415,850,850
1522749385,526,526
1522750353,690,690
1522751539,666,666
1522752497,657,657
1522753462,711,711
1522754414,447,447
1522755381,790,790
1522756337,509,509
1522757297,671,671
1522758265,330,330
1522759213,748,748
1522760184,593,593
1522761141,564,564
1522762100,507,507
1522763057,765,765
1522764018,419,419
1522764985,732,732
1522765937,570,570
1522766895,581,581
1522767878,728,728
1522768814,390,390
1522769783,778,778
1522770732,535,535
1522772255,852,852
1522773385,948,948
1522775169,962,962
1522776265,406,406
1522777223,1002,1002
1522778921,1029,1029
1522779957,403,403
1522780908,768,768
1522782002,676,676
1522782992,497,497
1522785474,1618,1618
1522786820,1003,1003
1522787783,998,998
1522788737,427,427
1522789948,901,901
1522790895,484,484
1522791865,950,950
1522792822,603,603
1522794028,2000,2000
1522794989,886,886
1522796072,446,446
1522797233,762,762
1522798338,973,973
1522799307,674,674
1522800505,910,910
1522801724,406,406
1522802672,1071,1071
1522803659,385,385
1522804575,706,706
1522806081,864,864
1522807221,880,880
1522808173,500,500
1522809141,630,630
1522810093,726,726
