DateTime,AddedIPs,RemovedIPs
1522684096,139,61
1522685084,202,198
1522686014,132,131
1522686980,257,182
1522688176,279,167
1522689657,218,274
1522690572,235,143
1522691553,174,185
1522692493,131,23
1522693467,128,290
1522694414,210,50
1522695396,187,229
1522696337,188,232
1522697301,150,224
1522698260,167,27
1522699285,212,345
1522700421,200,32
1522701373,249,257
1522702333,148,163
1522703312,238,268
1522704260,467,174
1522705218,803,136
1522706177,584,6
1522707150,592,1868
1522708091,242,179
1522709677,260,133
1522710790,245,421
1522711941,189,182
1522712894,146,27
1522713885,216,269
1522715146,208,176
1522716269,232,160
1522717219,157,228
1522718186,189,175
1522719142,188,226
1522720095,145,125
1522721077,143,135
1522722012,149,167
1522722981,235,220
1522723934,147,169
1522724912,156,136
1522725857,171,209
1522726815,261,144
1522727791,194,189
1522728739,163,146
1522729691,206,178
1522730673,189,111
1522731621,150,213
1522732572,130,161
1522733548,232,221
1522734515,139,68
1522735458,156,226
1522736666,117,148
1522737753,260,252
1522738961,168,107
1522739997,160,193
1522741298,276,340
1522742483,172,211
1522743527,125,129
1522744582,141,106
1522745532,171,166
1522746501,175,280
1522747458,73,120
1522748415,192,170
1522749385,147,202
1522750353,158,152
1522751539,149,161
1522752497,166,145
1522753462,186,129
1522754414,130,139
1522755381,216,145
1522756337,133,145
1522757297,166,146
1522758265,95,130
1522759213,172,139
1522760184,156,160
1522761141,123,117
1522762100,138,200
1522763057,189,179
1522764018,106,224
1522764985,158,110
1522765937,136,284
1522766895,162,177
1522767878,185,112
1522768814,123,132
1522769783,189,177
1522770732,178,185
1522772255,208,139
1522773385,333,383
1522775169,278,227
1522776265,118,167
1522777223,281,220
1522778921,279,259
1522779957,114,213
1522780908,233,196
1522782002,208,167
1522782992,154,118
1522785474,457,388
1522786820,270,170
1522787783,334,343
1522788737,164,265
1522789948,267,146
1522790895,468,211
1522791865,982,163
1522792822,621,1851
1522794028,554,303
1522794989,233,294
1522796072,106,30
1522797233,223,353
1522798338,232,28
1522799307,207,315
1522800505,245,202
1522801724,139,210
1522802672,258,174
1522803659,202,188
1522804575,189,34
1522806081,242,302
1522807221,222,157
1522808173,147,140
1522809141,166,208
1522810093,192,148
1522811080,178,181
1522812015,191,156
1522812982,209,193
1522813933,127,182
1522814903,220,155
1522815867,133,217
1522816817,186,195
1522817778,104,137
1522818747,279,138
1522819694,119,203
1522820674,267,179
1522821894,218,304
1522822833,141,31
1522823783,221,265
1522824739,114,184
1522825878,256,167
1522827145,145,294
1522828347,212,194
1522829300,176,159
1522830261,92,148
1522831221,204,196
1522832176,119,170
1522833145,156,112
1522834092,140,221
1522835058,222,168
1522836027,167,163
1522836988,159,162
