DateTime,Entries,UniqueIPs
1521949553,77,77
1521950200,77,77
1521954878,77,77
1521958257,79,79
1521959456,80,80
1521961011,81,81
1521962913,82,82
1521965452,83,83
1521966663,84,84
1521967537,85,85
1521972964,86,86
1521974134,86,86
1521976525,85,85
1521977710,86,86
1521981352,86,86
1521985193,89,89
1521986145,90,90
1521987060,92,92
1521988991,93,93
1521991903,83,83
1521992752,82,82
1521993816,84,84
1521995460,84,84
1521996804,85,85
1521999686,84,84
1522003850,85,85
1522005290,84,84
1522006260,85,85
1522008874,86,86
1522009799,87,87
1522013411,86,86
1522018210,87,87
1522022208,86,86
1522024973,87,87
1522025800,88,88
1522026659,90,90
1522028466,89,89
1522029338,88,88
1522034823,89,89
1522035651,87,87
1522037455,88,88
1522039261,88,88
1522044959,90,90
1522047684,88,88
1522049482,84,84
1522051683,80,80
1522052928,82,82
1522053981,82,82
1522055249,83,83
1522057926,83,83
1522061187,81,81
1522063357,81,81
1522065476,82,82
1522066612,83,83
1522069002,83,83
1522071951,83,83
1522075573,82,82
1522077284,89,89
1522078963,86,86
1522080889,85,85
1522081963,86,86
1522084540,84,84
1522085324,85,85
1522086387,84,84
1522087769,86,86
1522088750,87,87
1522091619,88,88
1522096976,89,89
1522097825,90,90
1522098942,91,91
1522101371,92,92
1522108986,92,92
1522110657,92,92
1522114103,93,93
1522116903,90,90
1522118679,92,92
1522120480,94,94
1522123672,93,93
1522125076,93,93
1522125975,96,96
1522126624,97,97
1522128632,97,97
1522133168,99,99
1522134885,99,99
1522136531,99,99
1522140404,101,101
1522143132,100,100
1522146681,103,103
1522148214,102,102
1522149319,103,103
1522150914,104,104
1522154168,101,101
1522157325,103,103
1522158388,104,104
1522159603,102,102
1522160082,103,103
1522161032,102,102
1522163754,100,100
1522165390,89,89
1522167060,88,88
1522168488,90,90
1522172215,89,89
1522177012,88,88
1522178148,90,90
1522179022,89,89
1522182721,89,89
1522186248,88,88
1522187826,87,87
1522190561,86,86
1522194961,82,82
1522197109,81,81
1522199719,83,83
1522201579,84,84
1522205130,84,84
1522206960,83,83
1522213008,86,86
1522213859,87,87
1522215127,85,85
1522216602,88,88
1522217736,89,89
1522221303,90,90
1522222591,89,89
1522224895,89,89
1522226477,92,92
1522227580,93,93
1522228475,94,94
1522229459,95,95
1522235719,97,97
1522237558,96,96
1522241629,97,97
1522242645,97,97
1522244576,98,98
1522245392,96,96
1522248157,91,91
1522249057,91,91
1522251393,85,85
1522254527,86,86
1522257053,86,86
1522258858,84,84
1522262755,85,85
1522264160,86,86
1522266186,91,91
1522266994,90,90
1522268075,90,90
1522269571,91,91
1522272663,92,92
1522276969,94,94
1522278142,93,93
1522281959,89,89
1522282859,91,91
1522284771,93,93
1522286086,96,96
1522287775,94,94
1522288609,92,92
1522290671,90,90
1522294253,87,87
1522295166,85,85
1522296258,84,84
1522298574,85,85
1522300262,84,84
1522301751,83,83
1522305071,83,83
1522305754,82,82
1522307711,83,83
1522312012,86,86
1522314618,87,87
1522320156,88,88
1522323636,89,89
1522326501,90,90
1522330776,89,89
1522332952,90,90
1522333907,88,88
1522334843,89,89
1522336358,90,90
1522337737,81,81
1522340743,82,82
1522343703,83,83
1522346199,83,83
1522348202,82,82
1522350650,83,83
1522352554,82,82
1522354254,83,83
1522355133,84,84
1522356032,83,83
1522357851,84,84
1522361682,85,85
1522363363,86,86
1522365934,87,87
1522367802,86,86
1522368653,87,87
1522372261,85,85
1522374998,84,84
1522381362,82,82
1522383357,84,84
1522384112,86,86
1522385157,87,87
1522386104,86,86
1522386951,87,87
1522387863,88,88
1522389410,87,87
1522391281,88,88
1522392231,89,89
1522394081,89,89
1522397682,88,88
1522398659,91,91
1522399352,91,91
1522400201,93,93
1522401273,95,95
1522404651,92,92
1522408243,93,93
1522409126,94,94
1522410051,95,95
1522414103,96,96
1522415368,94,94
1522416513,95,95
1522419042,96,96
1522421137,95,95
1522424455,83,83
1522425398,82,82
1522426260,85,85
1522427329,86,86
1522428633,86,86
1522429856,88,88
1522430793,91,91
1522432132,92,92
1522433683,90,90
1522435369,87,87
1522437056,86,86
1522438954,84,84
1522443335,83,83
1522446161,81,81
1522451458,82,82
1522453552,80,80
1522455286,78,78
1522456262,77,77
1522458652,109,109
1522464042,110,110
1522467814,108,108
1522469682,109,109
1522470535,112,112
1522471353,111,111
1522472351,112,112
1522474589,111,111
1522476955,110,110
1522481913,109,109
1522482934,110,110
1522484925,114,114
1522485761,113,113
1522489540,114,114
1522490596,114,114
1522493799,113,113
1522494650,114,114
1522498475,113,113
1522501002,112,112
1522501851,113,113
1522505445,113,113
1522506945,113,113
1522508197,134,134
1522510962,124,124
1522514522,125,125
1522516841,126,126
1522518059,127,127
1522521040,128,128
1522522923,129,129
1522523681,128,128
1522525556,128,128
1522527036,127,127
1522528265,130,130
1522536145,129,129
1522538080,130,130
1522539753,132,132
1522540610,131,131
1522544809,135,135
1522551423,134,134
1522555947,134,134
1522557662,134,134
1522561620,136,136
1522562579,137,137
1522563642,138,138
1522564479,139,139
1522569405,135,135
1522572048,138,138
1522574050,139,139
1522576777,140,140
1522578937,139,139
1522581282,140,140
1522583815,141,141
1522586605,142,142
1522587402,143,143
1522590153,142,142
1522595456,143,143
1522597256,130,130
1522598517,128,128
1522599275,129,129
1522600550,128,128
1522602652,127,127
1522609498,127,127
1522613673,127,127
1522620928,126,126
1522626053,125,125
1522626946,126,126
1522627844,94,94
1522630681,95,95
1522633970,96,96
1522635272,95,95
1522641414,92,92
1522642235,93,93
1522651431,94,94
1522652204,93,93
1522653056,94,94
1522654990,92,92
1522658744,98,98
1522660854,99,99
1522663180,100,100
1522664916,101,101
1522665734,101,101
1522666899,102,102
1522670106,103,103
1522672974,106,106
1522674655,108,108
1522676558,89,89
1522679780,88,88
1522683062,84,84
1522685020,85,85
1522686517,88,88
1522691157,90,90
1522693440,89,89
1522694876,86,86
1522698963,84,84
1522706873,84,84
1522708971,83,83
1522710876,82,82
1522712794,81,81
1522714249,78,78
1522716091,77,77
1522717012,78,78
1522718124,79,79
1522719093,80,80
1522725279,79,79
1522726247,78,78
1522727437,78,78
1522728905,82,82
1522732055,81,81
1522732903,82,82
1522737987,81,81
1522739458,82,82
1522740725,83,83
1522742196,83,83
1522743304,84,84
1522744274,87,87
1522748669,88,88
1522749887,88,88
1522751738,87,87
1522752823,88,88
1522753853,88,88
1522757684,91,91
1522758644,92,92
1522764123,93,93
1522765874,94,94
1522766553,96,96
1522770033,70,70
1522772073,71,71
1522773048,74,74
1522774599,80,80
1522775683,79,79
1522777364,81,81
1522778266,82,82
1522779355,84,84
1522780961,86,86
1522782182,85,85
1522791660,86,86
1522794504,88,88
1522797056,88,88
1522798254,89,89
1522800406,88,88
1522801256,89,89
1522802160,90,90
1522804246,89,89
1522809936,90,90
1522812682,91,91
1522813545,92,92
1522815049,93,93
1522817810,92,92
1522820131,93,93
1522822245,94,94
1522823745,92,92
1522825858,95,95
1522828596,95,95
1522830696,97,97
1522832500,96,96
1522834534,95,95
