DateTime,AddedIPs,RemovedIPs
1522307762,58,70
1522309684,111,97
1522313523,62,60
1522317363,60,44
1522323124,117,109
1522327202,73,60
1522331044,65,68
1522334882,78,66
1522337042,75,74
1522342805,69,57
1522346642,91,70
1522348562,91,88
1522352402,62,68
1522356243,85,76
1522360084,65,101
1522365363,58,102
1522367283,79,88
1522369204,88,79
1522371122,104,131
1522374963,58,54
1522378812,59,76
1522380964,87,100
1522384803,73,74
1522386722,75,63
1522392723,70,48
1522394643,63,52
1522396563,52,63
1522398723,119,83
1522402802,74,67
1522406645,70,59
1522410482,81,62
1522414323,60,66
1522418164,75,81
1522420324,84,59
1522424162,71,74
1522428002,84,69
1522431844,73,66
1522437602,72,66
1522439523,88,87
1522443363,65,90
1522445523,67,77
1522449362,58,90
1522452003,87,93
1522458242,39,78
1522460162,61,57
1522464003,69,75
1522467844,89,114
1522471684,67,80
1522475523,87,57
1522479364,64,42
1522481283,55,58
1522483208,58,55
1522485123,55,58
1522487043,71,52
1522490883,87,58
1522492804,75,73
1522496644,66,69
1522502403,66,60
1522504324,73,55
1522508165,65,63
1522513923,128,100
1522515843,84,64
1522523763,74,77
1522525683,69,97
1522529763,60,78
1522533844,67,71
1522535763,58,102
1522537684,120,86
1522544644,170,119
1522548483,61,84
1522554243,92,115
1522558083,67,79
1522561922,105,43
1522566013,62,58
1522567922,72,60
1522571762,74,39
1522575602,68,61
1522579443,80,65
1522583282,66,62
1522587122,67,67
1522592884,130,96
1522596723,69,65
1522598646,65,69
1522600562,116,131
1522604403,88,84
1522609685,81,78
1522611605,79,59
1522617365,76,84
1522619282,59,78
1522623844,58,81
1522626003,79,80
1522629843,32,78
1522635602,112,137
1522639923,87,107
1522644003,66,67
1522647844,86,54
1522651683,54,42
1522655523,60,50
1522659363,70,57
1522663683,78,63
1522665602,73,66
1522669443,73,57
1522673282,69,57
1522677122,74,58
1522680963,85,62
1522685042,76,53
1522686962,64,69
1522691522,76,74
1522695363,77,82
1522699211,66,64
1522701122,70,101
1522705202,74,95
1522709042,59,90
1522711445,83,84
1522715523,36,63
1522719602,68,73
1522723443,62,74
1522729202,94,114
1522731122,68,74
1522737123,157,103
1522739523,47,61
1522746007,69,54
1522747923,63,59
1522752002,56,60
1522753923,60,56
1522755842,95,94
1522759682,76,50
1522763523,78,59
1522769285,82,74
1522772163,78,67
1522775044,93,82
1522777203,84,73
1522781524,93,69
1522785364,73,94
1522787284,87,90
1522791123,59,95
1522795443,56,94
1522799763,97,85
1522803608,50,63
1522805763,69,83
1522809603,68,86
1522813444,86,105
1522817283,69,84
1522821122,84,65
1522825211,71,57
1522827124,70,59
1522831203,67,53
1522835043,55,71
