DateTime,AddedIPs,RemovedIPs
1521851242,3,98
1521855087,985,905
1521858006,678,3
1521859502,6,3
1521865207,2,0
1521865621,843,1421
1521869835,3,3
1521872417,11,2
1521876421,729,730
1521879607,12,2
1521880510,1,0
1521880647,4,3
1521882313,0,24
1521886807,11,3
1521887455,662,666
1521888386,304,333
1521891109,4,4
1521893120,16,0
1521894011,10,3
1521897454,0,3
1521898202,527,519
1521900309,1,0
1521901213,4,5
1521901907,3,7
1521908665,49,36
1521909315,761,505
1521912904,4,4
1521915619,3,0
1521916203,2,512
1521919621,516,562
1521923796,5,5
1521924302,6,5
1521926130,0,37
1521930020,3,0
1521930600,583,585
1521933609,1,0
1521934012,4,2
1521936004,1,0
1521936082,1,0
1521937205,2,0
1521937802,20,79
1521938416,240,0
1521941403,974,988
1521944417,3,0
1521945000,454,16
1521951611,3,1
1521952507,793,1194
1521955581,5,3
1521958811,9,0
1521959497,5,3
1521963003,650,606
1521966051,4,4
1521966603,13,4
1521966910,1,0
1521969610,0,24
1521973207,1,0
1521973802,640,643
1521973807,289,257
1521977023,8,5
1521979516,10,0
1521980405,2,0
1521981000,3,0
1521984602,560,544
1521987482,4,0
1521987909,8,4
1521988200,5,2
1521990934,0,255
1521992884,1,0
1521994688,5,1
1521995400,523,510
1521995772,1,0
1521997235,60,42
1521999135,5,7
1522001885,6,0
1522002602,2,3
1522006202,547,531
1522009090,5,1
1522010109,12,13
1522013586,0,20
1522016288,5,0
1522017002,590,592
1522018083,1,0
1522021020,6,8
1522023485,2,2
1522024200,2,59
1522024204,0,255
1522027621,992,996
1522030686,3,0
1522031480,74,2
1522031864,3,9
1522037887,8,2
1522038600,820,824
1522039694,2,0
1522043012,3,6
1522045084,6,0
1522045803,24,9
1522049493,685,696
1522052293,4,1
1522053002,8,7
1522054016,5,8
1522056791,0,16
1522059489,3,0
1522061187,902,886
1522064794,8,12
1522066818,3,0
1522068000,3,5
1522070417,5,0
1522070821,594,589
1522075200,5,1
1522075588,5,11
1522079136,0,510
1522081215,1,0
1522081621,569,554
1522082400,254,253
1522083145,2,2
1522086393,5,14
1522089315,6,0
1522089600,1,1
1522092748,668,647
1522094710,1,0
1522095612,6,0
1522096507,1,0
1522096800,3,0
1522097426,5,9
1522100785,0,32
1522102817,3,0
1522103221,569,572
1522104000,0,3
1522104391,1,0
1522108217,1,252
1522108567,3,6
1522110014,2,0
1522111200,2,73
1522114021,1079,1086
1522118400,225,2
1522119603,6,8
1522124758,4,0
1522125002,794,801
1522125600,53,207
1522130100,7,6
1522132800,18,5
1522135621,731,737
1522138810,4,0
1522140000,5,10
1522141271,3,7
1522143307,0,15
1522146005,4,0
1522146603,594,611
1522148403,329,272
1522152374,8,8
1522153207,9,0
1522157279,0,1
1522157402,588,582
1522159204,0,3
1522163518,7,3
1522166670,63,45
1522168021,565,546
1522168510,1,0
1522170510,0,4
1522174456,3,7
1522174808,5,254
1522179093,565,559
1522180800,1,1
1522182011,5,0
1522185350,3,14
1522186517,0,30
1522188003,1,0
1522189213,3,0
1522190120,555,553
1522191010,1,0
1522195520,23,69
1522196409,13,7
1522198211,1,0
1522200685,1092,1206
1522202400,70,22
1522204514,2,1
1522207554,6,10
1522210544,13,9
1522211059,5,0
1522211493,750,834
1522218011,8,10
1522218723,11,7
1522222202,682,710
1522225217,4,2
1522225951,1,0
1522229638,8,3
1522229711,0,25
1522233991,970,833
1522240203,12,1
1522241067,9,20
1522243896,668,647
1522247241,2,0
1522248000,1,0
1522252013,5,5
1522254014,3,0
1522254625,843,575
1522255200,1,1
1522255701,50,42
1522257326,254,0
1522258331,2,2
1522261215,43,0
1522262400,0,1
1522263146,6,9
1522265221,632,619
1522268420,5,1
1522272919,0,35
1522274403,5,4
1522276021,626,608
1522276800,1,0
1522278320,1,0
